Id_Business;Trading_Status;Sales_Status;Sales_Owner;Value;Start_Date;Store_Amount;Segment;Tax_Regime;Campaign;Company_Size
NEG2044;Lost;Lost;Vendedor 02;38518.52;28/12/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2790;Lost;Lost;Vendedor 04;31884.06;07/01/2022;1;Frigorifico;Simples Nacional;Evento;Pequeno
NEG1870;Lost;Lost;Vendedor 04;29090.91;16/09/2020;1;Frigorifico;Simples Nacional;Evento;Pequeno
NEG2894;Prospeccao;Open;Vendedor 03;31205.67;12/03/2022;1;Frigorifico;Simples Nacional;Evento;Pequeno
NEG1357;Lost;Lost;Vendedor 04;32653.06;27/01/2020;1;Frigorifico;Simples Nacional;google;Pequeno
NEG1408;Won;Won;Vendedor 02;33379.31;13/02/2020;1;Frigorifico;Simples Nacional;google;Pequeno
NEG1416;Lost;Lost;Vendedor 03;29931.97;17/02/2020;1;Frigorifico;Simples Nacional;google;Pequeno
NEG1520;Lost;Lost;Vendedor 02;42846.44;18/03/2020;1;Frigorifico;Lucro Presumido;google;Médio
NEG1545;Won;Won;Vendedor 04;42162.16;29/04/2020;1;Frigorifico;Lucro Presumido;google;Médio
NEG1568;Won;Won;Vendedor 02;29629.63;21/05/2020;1;Frigorifico;Simples Nacional;google;Pequeno
NEG1576;Lost;Lost;Vendedor 02;36666.67;26/05/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG1598;Won;Won;Vendedor 04;45054.15;08/06/2020;1;Frigorifico;Lucro Presumido;google;Médio
NEG1733;Won;Won;Vendedor 02;28268.55;28/07/2020;1;Frigorifico;Simples Nacional;google;Pequeno
NEG1747;Lost;Lost;Vendedor 02;42058.82;30/07/2020;1;Frigorifico;Lucro Presumido;google;Médio
NEG1777;Lost;Lost;Vendedor 02;36641.22;10/08/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG1782;Lost;Lost;Vendedor 02;43333.33;11/08/2020;1;Frigorifico;Lucro Presumido;google;Médio
NEG1847;Lost;Lost;Vendedor 02;43471.70;03/09/2020;1;Frigorifico;Lucro Presumido;google;Médio
NEG1848;Lost;Lost;Vendedor 02;33922.26;03/09/2020;1;Frigorifico;Simples Nacional;google;Pequeno
NEG1923;Won;Won;Vendedor 02;33922.26;13/10/2020;1;Frigorifico;Simples Nacional;google;Pequeno
NEG1925;Won;Won;Vendedor 02;36491.23;13/10/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG1935;Lost;Lost;Vendedor 02;42666.67;14/10/2020;1;Frigorifico;Lucro Presumido;google;Médio
NEG1973;Lost;Lost;Vendedor 02;36119.40;03/11/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2003;Lost;Lost;Vendedor 02;37088.12;16/11/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2021;Lost;Lost;Vendedor 01;36666.67;25/11/2020;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2106;Won;Won;Vendedor 02;33976.83;26/01/2021;1;Frigorifico;Simples Nacional;google;Pequeno
NEG2172;Won;Won;Vendedor 02;41089.49;23/02/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2233;Won;Won;Vendedor 01;36090.23;19/03/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2238;Won;Won;Vendedor 04;44412.81;22/03/2021;1;Frigorifico;Lucro Presumido;google;Médio
NEG2240;Lost;Lost;Vendedor 04;29520.30;22/03/2021;1;Frigorifico;Simples Nacional;google;Pequeno
NEG2259;Lost;Lost;Vendedor 02;38235.29;05/04/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2273;Lost;Lost;Vendedor 04;36666.67;12/04/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2345;Lost;Lost;Vendedor 02;36666.67;06/05/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2364;Lost;Lost;Vendedor 02;34042.55;18/05/2021;1;Frigorifico;Simples Nacional;google;Pequeno
NEG2368;Won;Won;Vendedor 02;36794.43;19/05/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2402;Lost;Lost;Vendedor 02;32713.75;02/06/2021;1;Frigorifico;Simples Nacional;google;Pequeno
NEG2414;Lost;Lost;Vendedor 01;32876.71;09/06/2021;1;Frigorifico;Simples Nacional;google;Pequeno
NEG2422;Lost;Lost;Vendedor 04;38951.31;15/06/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2426;Lost;Lost;Vendedor 04;40459.77;16/06/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2437;Won;Won;Vendedor 04;39724.14;18/06/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2523;Won;Won;Vendedor 04;34695.34;27/07/2021;1;Frigorifico;Simples Nacional;google;Pequeno
NEG2570;Lost;Lost;Vendedor 04;36226.42;18/08/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2571;Lost;Lost;Vendedor 04;39846.74;18/08/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2653;Lost;Lost;Vendedor 04;36413.79;04/10/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2654;Lost;Lost;Vendedor 02;37647.06;04/10/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2703;Lost;Lost;Vendedor 03;40772.20;06/11/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2719;Lost;Lost;Vendedor 01;29520.30;19/11/2021;1;Frigorifico;Simples Nacional;google;Pequeno
NEG2732;Negociacao;Open;Vendedor 01;42825.28;26/11/2021;1;Frigorifico;Lucro Presumido;google;Médio
NEG2751;Negociacao;Open;Vendedor 01;34448.40;14/12/2021;1;Frigorifico;Simples Nacional;google;Pequeno
NEG0964;Won;Won;Vendedor 01;35135.14;06/08/2019;1;Frigorifico;Simples Nacional;indicacao;Pequeno
NEG1825;Won;Won;Vendedor 01;34241.25;27/08/2020;1;Frigorifico;Simples Nacional;indicacao;Pequeno
NEG2102;Won;Won;Vendedor 01;38260.87;25/01/2021;1;Frigorifico;Lucro Presumido;indicacao;Pequeno
NEG2189;Won;Won;Vendedor 02;32472.32;01/03/2021;1;Frigorifico;Simples Nacional;indicacao;Pequeno
NEG2230;Lost;Lost;Vendedor 01;43183.39;18/03/2021;1;Frigorifico;Lucro Presumido;indicacao;Médio
NEG2309;Won;Won;Vendedor 02;37088.12;26/04/2021;1;Frigorifico;Lucro Presumido;indicacao;Pequeno
NEG2638;Lost;Lost;Vendedor 01;41449.28;24/09/2021;1;Frigorifico;Lucro Presumido;indicacao;Pequeno
NEG2659;Negociacao;Open;Vendedor 01;35254.24;07/10/2021;1;Frigorifico;Simples Nacional;indicacao;Pequeno
NEG1169;Won;Won;Vendedor 01;35555.56;31/10/2019;1;Frigorifico;Simples Nacional;prosp_merketing;Pequeno
NEG2879;Lost;Lost;Vendedor 04;37956.20;04/03/2022;1;Frigorifico;Lucro Presumido;prosp_merketing;Pequeno
NEG2925;Proposta;Open;Vendedor 04;32542.37;22/03/2022;1;Frigorifico;Simples Nacional;prosp_merketing;Pequeno
NEG2995;Negociacao;Won;Vendedor 04;35016.84;20/04/2022;1;Frigorifico;Simples Nacional;prosp_merketing;Pequeno
NEG2997;Prospeccao;Open;Vendedor 01;42527.88;22/04/2022;1;Frigorifico;Lucro Presumido;prosp_merketing;Médio
NEG3006;Negociacao;Open;Vendedor 01;43802.28;26/04/2022;1;Frigorifico;Lucro Presumido;prosp_merketing;Médio
NEG0508;Won;Won;Vendedor 01;66101.69;23/11/2018;2;Frigorifico;Lucro Real;google;Médio
NEG0843;Won;Won;Vendedor 02;66914.50;10/06/2019;2;Frigorifico;Lucro Real;google;Médio
NEG1880;Won;Won;Vendedor 02;62068.97;21/09/2020;2;Frigorifico;Lucro Real;google;Médio
NEG1625;Lost;Lost;Vendedor 02;74482.76;18/06/2020;2;Frigorifico;Lucro Real;google;Grande
NEG2201;Lost;Lost;Vendedor 02;79591.84;05/03/2021;2;Frigorifico;Lucro Real;google;Grande
NEG2349;Lost;Lost;Vendedor 04;73333.33;10/05/2021;2;Frigorifico;Lucro Real;google;Grande
NEG2405;Won;Won;Vendedor 01;67576.79;07/06/2021;2;Frigorifico;Lucro Real;google;Médio
NEG2629;Lost;Lost;Vendedor 04;66666.67;22/09/2021;2;Frigorifico;Lucro Real;google;Médio
NEG2956;Lost;Lost;Vendedor 04;81250.00;01/04/2022;2;Frigorifico;Lucro Real;prosp_merketing;Grande
NEG0480;Won;Won;Vendedor 02;122890.63;04/10/2018;3;Frigorifico;Lucro Real;google;Grande
NEG0677;Won;Won;Vendedor 02;103714.29;28/03/2019;3;Frigorifico;Lucro Real;google;Grande
NEG0841;Won;Won;Vendedor 01;91666.67;10/06/2019;3;Frigorifico;Lucro Real;google;Grande
NEG1392;Won;Won;Vendedor 02;94964.03;07/02/2020;3;Frigorifico;Lucro Real;google;Grande
NEG1620;Lost;Lost;Vendedor 02;98281.79;17/06/2020;3;Frigorifico;Lucro Real;google;Grande
NEG1903;Won;Won;Vendedor 01;92720.31;28/09/2020;3;Frigorifico;Lucro Real;google;Grande
NEG2115;Won;Won;Vendedor 02;96800.00;02/02/2021;3;Frigorifico;Lucro Real;google;Grande
NEG2340;Won;Won;Vendedor 01;101779.36;05/05/2021;3;Frigorifico;Lucro Real;indicacao;Grande
NEG1069;Won;Won;Vendedor 01;117388.06;24/09/2019;3;Frigorifico;Lucro Real;prosp_merketing;Grande
NEG2193;Won;Won;Vendedor 02;147056.74;03/03/2021;4;Frigorifico;Lucro Real;prosp_merketing;Grande
NEG1888;Won;Won;Vendedor 02;98305.08;22/09/2020;4;Frigorifico;Lucro Real;google;Grande
NEG2151;Won;Won;Vendedor 02;134315.79;17/02/2021;4;Frigorifico;Lucro Real;google;Grande
NEG2183;Lost;Lost;Vendedor 01;123166.02;24/02/2021;4;Frigorifico;Lucro Real;indicacao;Grande
NEG1929;Won;Won;Vendedor 02;163759.40;14/10/2020;5;Frigorifico;Lucro Real;google;Grande
NEG0641;Lost;Lost;Vendedor 01;233006.76;25/02/2019;8;Frigorifico;Lucro Real;google;Grande
NEG0642;Lost;Lost;Vendedor 01;343006.76;25/02/2019;10;Frigorifico;Lucro Real;google;Grande
NEG2746;Lost;Lost;Vendedor 02;36666.67;14/12/2021;1;Frigorifico;Lucro Presumido;google;Pequeno
NEG2748;Lost;Lost;Vendedor 01;34241.25;14/12/2021;1;Frigorifico;Simples Nacional;google;Pequeno
NEG1127;Lost;Lost;Vendedor 01;34108.53;20/10/2019;1;Agropecuaria;Simples Nacional;google;Pequeno
NEG1201;Won;Won;Vendedor 01;30303.03;20/11/2019;1;Agropecuaria;Simples Nacional;google;Pequeno
NEG1368;Lost;Lost;Vendedor 01;41151.08;31/01/2020;1;Agropecuaria;Lucro Presumido;google;Pequeno
NEG1426;Won;Won;Vendedor 02;27491.41;20/02/2020;1;Agropecuaria;Simples Nacional;google;Pequeno
NEG2915;Prospeccao;Open;Vendedor 03;33217.99;17/03/2022;1;Agropecuaria;Simples Nacional;Evento;Pequeno
NEG1390;Lost;Lost;Vendedor 04;40000.00;06/02/2020;1;Agropecuaria;Lucro Presumido;google;Pequeno
NEG1670;Lost;Lost;Vendedor 02;39256.51;08/07/2020;1;Agropecuaria;Lucro Presumido;google;Pequeno
NEG2160;Lost;Lost;Vendedor 02;34204.95;18/02/2021;1;Agropecuaria;Simples Nacional;google;Pequeno
NEG1610;Won;Won;Vendedor 01;65454.55;10/06/2020;2;Agropecuaria;Lucro Real;google;Médio
NEG2304;Lost;Lost;Vendedor 04;37519.38;22/04/2021;1;Distribuidora;Lucro Presumido;prosp_merketing;Pequeno
NEG2762;Lost;Lost;Vendedor 04;33922.26;21/12/2021;1;Distribuidora;Simples Nacional;prosp_merketing;Pequeno
NEG0662;Won;Won;Vendedor 01;28268.55;14/03/2019;1;Distribuidora;Simples Nacional;google;Pequeno
NEG0706;Lost;Lost;Vendedor 01;41588.45;10/04/2019;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG0708;Won;Won;Vendedor 02;45547.45;11/04/2019;1;Distribuidora;Lucro Presumido;google;Médio
NEG0770;Lost;Lost;Vendedor 01;35719.56;14/05/2019;1;Distribuidora;Simples Nacional;google;Pequeno
NEG0774;Lost;Lost;Vendedor 01;31428.57;14/05/2019;1;Distribuidora;Simples Nacional;google;Pequeno
NEG0777;Won;Won;Vendedor 02;39860.63;16/05/2019;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG0787;Lost;Lost;Vendedor 01;35254.24;16/05/2019;1;Distribuidora;Simples Nacional;google;Pequeno
NEG0804;Lost;Lost;Vendedor 01;48560.31;24/05/2019;1;Distribuidora;Lucro Presumido;google;Médio
NEG0825;Lost;Lost;Vendedor 01;37580.07;30/05/2019;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG0835;Lost;Lost;Gerente 01;32876.71;05/06/2019;1;Distribuidora;Simples Nacional;google;Pequeno
NEG0875;Lost;Lost;Vendedor 01;37681.16;27/06/2019;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG0957;Lost;Lost;Vendedor 01;30034.13;05/08/2019;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1223;Won;Won;Vendedor 01;40706.71;05/12/2019;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1271;Won;Won;Vendedor 01;36236.93;06/01/2020;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1302;Lost;Lost;Vendedor 02;38966.79;15/01/2020;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1407;Won;Won;Vendedor 04;34695.34;13/02/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1596;Lost;Lost;Vendedor 02;43664.12;03/06/2020;1;Distribuidora;Lucro Presumido;google;Médio
NEG2002;Won;Won;Vendedor 04;29304.03;16/11/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2050;Won;Won;Vendedor 04;36226.42;05/01/2021;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2766;Lost;Lost;Vendedor 02;34657.04;28/12/2021;1;Distribuidora;Simples Nacional;Evento;Pequeno
NEG0994;Lost;Lost;Vendedor 01;36923.08;20/08/2019;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1108;Lost;Lost;Vendedor 02;30877.19;09/10/2019;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1115;Lost;Lost;Vendedor 01;39550.56;17/10/2019;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1190;Lost;Lost;Vendedor 01;40772.20;12/11/2019;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1258;Lost;Lost;Vendedor 04;43183.39;26/12/2019;1;Distribuidora;Lucro Presumido;google;Médio
NEG1375;Won;Won;Vendedor 01;35820.90;04/02/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1377;Lost;Lost;Vendedor 01;34909.09;04/02/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1406;Lost;Lost;Vendedor 02;44651.16;12/02/2020;1;Distribuidora;Lucro Presumido;google;Médio
NEG1409;Won;Won;Vendedor 01;29830.51;13/02/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1413;Lost;Lost;Vendedor 02;43789.47;17/02/2020;1;Distribuidora;Lucro Presumido;google;Médio
NEG1499;Lost;Lost;Vendedor 02;34532.37;13/03/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1534;Won;Won;Vendedor 01;40000.00;01/04/2020;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1565;Lost;Lost;Vendedor 03;40281.69;15/05/2020;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1650;Lost;Lost;Vendedor 02;35851.85;29/06/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1668;Lost;Lost;Vendedor 01;42686.57;08/07/2020;1;Distribuidora;Lucro Presumido;google;Médio
NEG1674;Lost;Lost;Vendedor 02;34532.37;09/07/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1679;Lost;Lost;Vendedor 01;33082.71;10/07/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1681;Won;Won;Vendedor 02;34532.37;13/07/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1776;Lost;Lost;Vendedor 02;35374.15;10/08/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1820;Lost;Lost;Vendedor 02;38235.29;26/08/2020;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1857;Lost;Lost;Vendedor 03;39699.25;09/09/2020;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG1889;Lost;Lost;Vendedor 02;32835.82;22/09/2020;1;Distribuidora;Simples Nacional;google;Pequeno
NEG1912;Lost;Lost;Vendedor 02;40996.44;05/10/2020;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2013;Lost;Lost;Vendedor 02;43636.36;18/11/2020;1;Distribuidora;Lucro Presumido;google;Médio
NEG2092;Won;Won;Vendedor 02;33217.99;20/01/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2145;Lost;Lost;Vendedor 04;37580.07;11/02/2021;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2146;Lost;Lost;Vendedor 01;36539.79;11/02/2021;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2154;Won;Won;Vendedor 01;31205.67;18/02/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2162;Lost;Lost;Vendedor 02;34108.53;18/02/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2164;Lost;Lost;Vendedor 04;29931.97;19/02/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2182;Lost;Lost;Vendedor 04;40772.20;24/02/2021;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2222;Lost;Lost;Vendedor 04;35555.56;17/03/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2224;Lost;Lost;Vendedor 04;31541.22;17/03/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2245;Lost;Lost;Vendedor 04;46917.29;25/03/2021;1;Distribuidora;Lucro Presumido;google;Médio
NEG2258;Lost;Lost;Vendedor 04;35328.47;31/03/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2288;Won;Won;Vendedor 04;30136.99;15/04/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2290;Lost;Lost;Vendedor 03;38966.79;15/04/2021;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2293;Lost;Lost;Vendedor 02;35200.00;15/04/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2294;Won;Won;Vendedor 03;40772.20;16/04/2021;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2319;Lost;Lost;Vendedor 04;32592.59;28/04/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2384;Lost;Lost;Vendedor 04;35294.12;25/05/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2395;Lost;Lost;Vendedor 01;36806.08;01/06/2021;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2398;Lost;Lost;Vendedor 04;44169.88;01/06/2021;1;Distribuidora;Lucro Presumido;google;Médio
NEG2408;Lost;Lost;Vendedor 01;34448.40;07/06/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2503;Lost;Lost;Vendedor 04;29411.76;19/07/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2509;Lost;Lost;Vendedor 03;43969.47;20/07/2021;1;Distribuidora;Lucro Presumido;google;Médio
NEG2568;Lost;Lost;Vendedor 02;40851.06;18/08/2021;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2709;Negociacao;Open;Vendedor 01;32432.43;11/11/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG2753;Negociacao;Open;Vendedor 01;40466.93;14/12/2021;1;Distribuidora;Lucro Presumido;google;Pequeno
NEG2757;Lost;Lost;Vendedor 02;44412.81;17/12/2021;1;Distribuidora;Lucro Presumido;google;Médio
NEG1046;Lost;Lost;Vendedor 01;44687.50;11/09/2019;1;Distribuidora;Lucro Presumido;indicacao;Médio
NEG1155;Lost;Lost;Vendedor 01;30449.83;28/10/2019;1;Distribuidora;Simples Nacional;indicacao;Pequeno
NEG1796;Lost;Lost;Vendedor 02;36946.56;17/08/2020;1;Distribuidora;Lucro Presumido;indicacao;Pequeno
NEG1854;Lost;Lost;Vendedor 04;32000.00;08/09/2020;1;Distribuidora;Simples Nacional;indicacao;Pequeno
NEG2046;Lost;Lost;Vendedor 02;34532.37;29/12/2020;1;Distribuidora;Simples Nacional;indicacao;Pequeno
NEG2059;Lost;Lost;Vendedor 01;34657.04;06/01/2021;1;Distribuidora;Simples Nacional;indicacao;Pequeno
NEG2297;Won;Won;Vendedor 02;33103.45;19/04/2021;1;Distribuidora;Simples Nacional;indicacao;Pequeno
NEG2600;Lost;Lost;Vendedor 01;33976.83;02/09/2021;1;Distribuidora;Simples Nacional;indicacao;Pequeno
NEG2302;Won;Won;Vendedor 03;44731.18;22/04/2021;1;Distribuidora;Lucro Presumido;prosp_merketing;Médio
NEG2779;Proposta;Open;Vendedor 02;32542.37;05/01/2022;1;Distribuidora;Simples Nacional;prosp_merketing;Pequeno
NEG2782;Proposta;Open;Vendedor 01;39044.37;05/01/2022;1;Distribuidora;Lucro Presumido;prosp_merketing;Pequeno
NEG2846;Negociacao;Open;Vendedor 02;41438.85;10/02/2022;1;Distribuidora;Lucro Presumido;prosp_merketing;Pequeno
NEG2851;Lost;Lost;Vendedor 02;36879.43;14/02/2022;1;Distribuidora;Lucro Presumido;prosp_merketing;Pequeno
NEG2862;Negociacao;Open;Vendedor 02;34163.70;16/02/2022;1;Distribuidora;Simples Nacional;prosp_merketing;Pequeno
NEG2934;Lost;Lost;Vendedor 04;41151.08;25/03/2022;1;Distribuidora;Lucro Presumido;prosp_merketing;Pequeno
NEG2961;Proposta;Open;Vendedor 04;32234.43;04/04/2022;1;Distribuidora;Simples Nacional;prosp_merketing;Pequeno
NEG2968;Prospeccao;Open;Gerente 02;29931.97;06/04/2022;1;Distribuidora;Simples Nacional;prosp_merketing;Pequeno
NEG2987;Lost;Lost;Vendedor 04;36794.43;18/04/2022;1;Distribuidora;Lucro Presumido;prosp_merketing;Pequeno
NEG2505;Lost;Lost;Vendedor 01;35016.84;19/07/2021;1;Distribuidora;Simples Nacional;google;Pequeno
NEG0753;Won;Won;Vendedor 02;66101.69;07/05/2019;2;Distribuidora;Lucro Real;google;Médio
NEG0761;Won;Won;Vendedor 01;54744.53;13/05/2019;2;Distribuidora;Lucro Presumido;google;Médio
NEG0869;Won;Won;Vendedor 02;68041.24;25/06/2019;2;Distribuidora;Lucro Real;google;Médio
NEG0916;Lost;Lost;Vendedor 01;65934.07;17/07/2019;2;Distribuidora;Lucro Real;google;Médio
NEG1326;Won;Won;Vendedor 02;71223.02;20/01/2020;2;Distribuidora;Lucro Real;google;Médio
NEG2131;Won;Won;Vendedor 02;62937.06;05/02/2021;2;Distribuidora;Lucro Real;google;Médio
NEG1684;Lost;Lost;Vendedor 03;64748.20;13/07/2020;2;Distribuidora;Lucro Real;google;Médio
NEG1692;Lost;Lost;Vendedor 01;76595.74;14/07/2020;2;Distribuidora;Lucro Real;google;Grande
NEG1901;Lost;Lost;Vendedor 02;75875.49;25/09/2020;2;Distribuidora;Lucro Real;google;Grande
NEG2908;Proposta;Open;Vendedor 04;83397.68;16/03/2022;2;Distribuidora;Lucro Real;prosp_merketing;Grande
NEG2093;Lost;Lost;Vendedor 02;68965.52;20/01/2021;2;Distribuidora;Lucro Real;google;Médio
NEG1219;Lost;Lost;Vendedor 01;86738.35;02/12/2019;3;Distribuidora;Lucro Real;google;Grande
NEG2891;Lost;Lost;Vendedor 04;106319.70;11/03/2022;3;Distribuidora;Lucro Real;prosp_merketing;Grande
NEG2913;Negociacao;Open;Vendedor 01;107555.56;17/03/2022;3;Distribuidora;Lucro Real;prosp_merketing;Grande
NEG0736;Won;Won;Vendedor 01;163125.00;30/04/2019;4;Distribuidora;Lucro Real;google;Grande
NEG0878;Won;Won;Vendedor 03;122692.31;01/07/2019;4;Distribuidora;Lucro Real;google;Grande
NEG0879;Won;Won;Vendedor 03;120000.00;01/07/2019;4;Distribuidora;Lucro Real;google;Grande
